restaurant_id,restaurant_name,rating,n_comment,rank,url
69,Bon Ami Darmo Permai Selatan,4,58,"#69 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d6488739-Reviews-Bon_Ami_Darmo_Permai_Selatan-Surabaya_East_Java_Java.html
70,Hanamasa Tunjungan Plaza,4,46,"#70 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d8399479-Reviews-Hanamasa_Tunjungan_Plaza-Surabaya_East_Java_Java.html
71,Lin's Garden Restaurant,4.5,33,"#71 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d4475133-Reviews-Lin_s_Garden_Restaurant-Surabaya_East_Java_Java.html
72,Kayu Contemporary Japanese Restaurant,4.5,58,"#72 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d3626169-Reviews-Kayu_Contemporary_Japanese_Restaurant-Surabaya_East_Java_Java.html
73,Hachi Hachi Bistro Plaza Tunjungan,4,58,"#73 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d4233563-Reviews-Hachi_Hachi_Bistro_Plaza_Tunjungan-Surabaya_East_Java_Java.html
74,Xiang Fu Hai,4.5,25,"#74 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d12538877-Reviews-Xiang_Fu_Hai-Surabaya_East_Java_Java.html
75,Depot Gang Djangkrik,4,46,"#75 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d6488755-Reviews-Depot_Gang_Djangkrik-Surabaya_East_Java_Java.html
76,D'kampoeng,4.5,38,"#76 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d8497728-Reviews-D_kampoeng-Surabaya_East_Java_Java.html
77,Ming Garden,4,46,"#77 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d7200422-Reviews-Ming_Garden-Surabaya_East_Java_Java.html
78,Bakwan Kapasari,4,69,"#78 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d4192101-Reviews-Bakwan_Kapasari-Surabaya_East_Java_Java.html
79,Bakso Pak Djo Manyar,4,45,"#79 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d4191977-Reviews-Bakso_Pak_Djo_Manyar-Surabaya_East_Java_Java.html
80,CITRUS LEE,4.5,87,"#80 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d6508087-Reviews-CITRUS_LEE-Surabaya_East_Java_Java.html
81,Tahu Telur Pak Jayen,4,53,"#81 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d8758332-Reviews-Tahu_Telur_Pak_Jayen-Surabaya_East_Java_Java.html
